datetime,timestamp,height,width,filename,filepath
2019-07-15 07:59:34.134903955,1.563177574134904e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006036.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006036.jpg
2019-07-15 07:59:34.168135139,1.5631775741681352e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006037.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006037.jpg
2019-07-15 07:59:34.201677758,1.5631775742016778e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006038.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006038.jpg
2019-07-15 07:59:34.234986838,1.5631775742349868e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006039.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006039.jpg
2019-07-15 07:59:34.268344096,1.563177574268344e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006040.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006040.jpg
2019-07-15 07:59:34.301895660,1.5631775743018957e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006041.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006041.jpg
2019-07-15 07:59:34.334840687,1.5631775743348406e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006042.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006042.jpg
2019-07-15 07:59:34.368214541,1.5631775743682145e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006043.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006043.jpg
2019-07-15 07:59:34.401595530,1.5631775744015956e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006044.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006044.jpg
2019-07-15 07:59:34.435022081,1.563177574435022e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006045.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006045.jpg
2019-07-15 07:59:34.468375269,1.5631775744683753e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006046.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006046.jpg
2019-07-15 07:59:34.505180040,1.5631775745051802e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006047.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006047.jpg
2019-07-15 07:59:34.534944148,1.5631775745349443e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006048.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006048.jpg
2019-07-15 07:59:34.568423335,1.5631775745684234e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006049.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006049.jpg
2019-07-15 07:59:34.602149828,1.56317757460215e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006050.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006050.jpg
2019-07-15 07:59:34.635268373,1.5631775746352684e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006051.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006051.jpg
2019-07-15 07:59:34.668372642,1.5631775746683727e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006052.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006052.jpg
2019-07-15 07:59:34.703614094,1.5631775747036142e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006053.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006053.jpg
2019-07-15 07:59:34.734952749,1.5631775747349527e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006054.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006054.jpg
2019-07-15 07:59:34.768762442,1.5631775747687624e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006055.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006055.jpg
2019-07-15 07:59:34.802165680,1.5631775748021658e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006056.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006056.jpg
2019-07-15 07:59:34.835402659,1.5631775748354028e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006057.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006057.jpg
2019-07-15 07:59:34.868642411,1.5631775748686423e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006058.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006058.jpg
2019-07-15 07:59:34.902264795,1.5631775749022648e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006059.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006059.jpg
2019-07-15 07:59:34.931928467,1.5631775749319286e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006060.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006060.jpg
2019-07-15 07:59:34.965290894,1.563177574965291e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006061.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006061.jpg
2019-07-15 07:59:34.998604542,1.5631775749986045e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006062.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006062.jpg
2019-07-15 07:59:35.031909090,1.563177575031909e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006063.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006063.jpg
2019-07-15 07:59:35.065360432,1.5631775750653604e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006064.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006064.jpg
2019-07-15 07:59:35.098651035,1.5631775750986511e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006065.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006065.jpg
2019-07-15 07:59:35.131892421,1.5631775751318925e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006066.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006066.jpg
2019-07-15 07:59:35.175079753,1.5631775751750797e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006067.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006067.jpg
2019-07-15 07:59:35.214670503,1.5631775752146706e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006068.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006068.jpg
2019-07-15 07:59:35.252445819,1.5631775752524457e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006069.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006069.jpg
2019-07-15 07:59:35.277416266,1.5631775752774162e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006070.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006070.jpg
2019-07-15 07:59:35.313371369,1.5631775753133714e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006071.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006071.jpg
2019-07-15 07:59:35.340718381,1.5631775753407183e+18,500.0,530.0,_camera_crop_image_rect_color_compressed_000006072.jpg,camera_images/_camera_crop_image_rect_color_compressed_000006072.jpg
